Name,URL,Website,LinkedIn,Email,Phone,City/Region,BC Region,Category,AI Focus Areas,Year Founded,Size,Short Blurb,Key People,Latitude,Longitude,Logo,PercentComplete
"5. **Thales Canada**","https://www.notion.so/5-Thales-Canada-244c6f799a33818a91d3d4cdd09cba73",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"4. **SandboxAQ (Good Chemistry Acquisition)**","https://www.notion.so/4-SandboxAQ-Good-Chemistry-Acquisition-244c6f799a33818d8c6ee10f35bf0bf5",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"3. **Fintel Connect**","https://www.notion.so/3-Fintel-Connect-244c6f799a3381e0a33ceba29d5e5fcf",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"Riverlane Solutions","https://www.notion.so/Riverlane-Solutions-240c6f799a33812eafb8e60854815e73",0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,27
"Motive.io","https://www.notion.so/Motive-io-240c6f799a33812bbd95d51e2be18fb3",0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,27
"Payfirma","https://www.notion.so/Payfirma-240c6f799a3381cf961fc98d19bb195a",0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,27
"Archiact","https://www.notion.so/Archiact-240c6f799a3381bda04cfac254358e1d",0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,27
"Traction on Demand","https://www.notion.so/Traction-on-Demand-240c6f799a33817d9849e58177aa0b05",0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,27
"General Fusion","https://www.notion.so/General-Fusion-240c6f799a338162b62fcdf2fd4815eb",0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,27
"City of Surrey AI Initiative","https://www.notion.so/City-of-Surrey-AI-Initiative-23fc6f799a3381029150faf5dc3126da",0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,27
"Stellantis LG Energy Solution BC","https://www.notion.so/Stellantis-LG-Energy-Solution-BC-23fc6f799a33815a9713def1a495e575",0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,27
"Microsoft Canada AI Hub","https://www.notion.so/Microsoft-Canada-AI-Hub-23fc6f799a3381be9128e260cb998df9",0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,27
"Service BC AI Search Platform","https://www.notion.so/Service-BC-AI-Search-Platform-23fc6f799a33819d9938cdac0c303ac4",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,27
"BC Wildfire Service AI Analytics","https://www.notion.so/BC-Wildfire-Service-AI-Analytics-23fc6f799a33814994d4e6e6bce9d31e",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,27
"DigiBC Signals Program","https://www.notion.so/DigiBC-Signals-Program-23fc6f799a33816097c7e88be6c2cc38",0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,27
"Meton AI","https://www.notion.so/Meton-AI-23fc6f799a3381028af8d81b632dbd61",0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,27
"Artificial Intelligence Underwriting Company (AIUC)","https://www.notion.so/Artificial-Intelligence-Underwriting-Company-AIUC-23fc6f799a338136a529e1fac7d2ffdb",0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,27
"usediscovery.ai","https://www.notion.so/usediscovery-ai-244c6f799a3381e7b612c67fd86ded2e",1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,33
"VirtualReception.ai","https://www.notion.so/VirtualReception-ai-244c6f799a33811fbffff5af278ee9cc",1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,33
"Helios-Helmet","https://www.notion.so/Helios-Helmet-244c6f799a3381729cb2d7373ae79dfb",1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,33
"Downtown.AI","https://www.notion.so/Downtown-AI-244c6f799a3381ebac39f72f234697bc",1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,33
"Eventbase","https://www.notion.so/Eventbase-244c6f799a338100bf22d7e733eabc8f",1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,33
"Coho Data","https://www.notion.so/Coho-Data-244c6f799a33810d9949cd3aafaf527e",1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,33
"Finger Food Studios","https://www.notion.so/Finger-Food-Studios-240c6f799a33819d9e58f7e640777abb",0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,33
"Excelar Technologies","https://www.notion.so/Excelar-Technologies-23fc6f799a3381f2aa7df41a2157ffd8",1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,33
"ChildCare Services BC AI Platform","https://www.notion.so/ChildCare-Services-BC-AI-Platform-23fc6f799a33815bb33af8403797ca98",1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,33
"Athletica","https://www.notion.so/Athletica-23fc6f799a338182a2bbe940ec42bd56",0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,33
"CDL Vancouver","https://www.notion.so/CDL-Vancouver-23fc6f799a3381e49815c524beb0dc4f",0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,33
"Applied AI Research Association (AAIRA)","https://www.notion.so/Applied-AI-Research-Association-AAIRA-23fc6f799a3381929eccd2311757a9c0",0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,33
"First Nations Health Authority Digital Health","https://www.notion.so/First-Nations-Health-Authority-Digital-Health-23fc6f799a3381e9be87fb3703a2bda6",0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,33
"Fraser Surrey Docks AI Operations","https://www.notion.so/Fraser-Surrey-Docks-AI-Operations-23fc6f799a33818787a0e2fc29fe2b80",0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,33
"MistyWest","https://www.notion.so/MistyWest-245c6f799a338184bceee5bf2efa6f30",1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,40
"New Media BC","https://www.notion.so/New-Media-BC-245c6f799a3381b799e9fa2281d5ce72",1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,40
"MetaOptima / MetaOptima (DermEngine)","https://www.notion.so/MetaOptima-MetaOptima-DermEngine-244c6f799a338105b9d0f7fcd9f5ce32",1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,40
"Flash Forest","https://www.notion.so/Flash-Forest-244c6f799a33818a98b7c7c6cb8d117b",1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,40
"Tangam Systems","https://www.notion.so/Tangam-Systems-244c6f799a3381aca7ceef446e62eea0",1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,40
"Lila Bioscience","https://www.notion.so/Lila-Bioscience-244c6f799a3381da975af23353c402e4",1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,40
"Bit Literate","https://www.notion.so/Bit-Literate-244c6f799a33811d9fb8cb3e76e90fd8",1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,40
"Nexii Building Solutions","https://www.notion.so/Nexii-Building-Solutions-244c6f799a3381238fcad4e58a7dbb68",1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,40
"CodeStream","https://www.notion.so/CodeStream-240c6f799a33814fadd1cc65305f3224",0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,40
"Twenty Billion Neurons","https://www.notion.so/Twenty-Billion-Neurons-240c6f799a3381088737f59c7ab8d019",0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,40
"Chinook Therapeutics","https://www.notion.so/Chinook-Therapeutics-240c6f799a3381e7ab62c3733ac577a4",0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,40
"Absolute Software","https://www.notion.so/Absolute-Software-240c6f799a3381b3a56bc53536ba869f",0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,40
